accession,species,n_samples,year,retrieval,verdict,reason_code,reason_source,title,url,annotation_status,n_case,n_control
GSE117319,Rattus norvegicus,20,2022,original,pending,usable_pending_file_check,automatic_screen,Distinct microglial transcriptional responses during opioid exposure or neuropathic pain [rat],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117319,no_split,,
GSE117320,Mus musculus,30,2022,original,pending,usable_pending_file_check,automatic_screen,Distinct microglial transcriptional responses during opioid exposure or neuropathic pain [mouse],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117320,skipped_existing,,
GSE117321,Mus musculus; Rattus norvegicus,50,2022,original,pending,usable_pending_file_check,automatic_screen,Distinct microglial transcriptional responses during opioid exposure or neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117321,skipped_existing,,
GSE117526,Rattus norvegicus,6,2020,original,include,already_in_pooled_analysis,automatic_screen,A Transcriptomic Analysis of Neuropathic Pain in Rat Dorsal Root Ganglia Following Peripheral Nerve Injury,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117526,skipped_existing,,
GSE11768,Homo sapiens; Mus musculus,18,2008,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Nude mouse model of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11768,no_split,,
GSE11769,Homo sapiens; Mus musculus,36,2008,amendment_2026_08_28,exclude,no_pain_phenotype,automatic_screen,Analysis of ectopic human endometrium and peritoneal tissues in nude mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11769,,,
GSE11783,Homo sapiens,16,2009,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Gene expression profile of bladder tissue of patients with ulcerative interstitial cystitis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11783,annotated,5,6
GSE11839,Homo sapiens,12,2008,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Differentiation associated changes in gene expression profiles for interstitial cystitis and control urothelial cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11839,annotated,6.0,6.0
GSE120103,Homo sapiens,36,2019,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Homo sapiens whole genome expression microarray of endometrium obtained from fertile and Infertile women with stage IV ovarian endometriosis and without endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120103,annotated,18,18
GSE123919,Mus musculus,16,2018,original,pending,usable_pending_file_check,automatic_screen,Translational profiling of dorsal root ganglia and spinal cord in a mouse model of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE123919,skipped_existing,,
GSE126611,Homo sapiens,14,2021,original,include,already_in_pooled_analysis,automatic_screen,Sensory profiles and immune related expression patterns of patients with and without neuropathic pain after peripheral nerve lesion,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126611,skipped_existing,,
GSE130435,Homo sapiens,18,2020,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Macrophages in eutopic endometrium endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130435,annotated,16.0,2.0
GSE130755,Mus musculus,6,2019,original,include,already_in_pooled_analysis,automatic_screen,Gene expression changes in astrocytes by pulsed radiofrequency: a possible mechanism of neuropathic pain improvement,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130755,skipped_existing,,
GSE134003,Mus musculus,19,2021,original,pending,usable_pending_file_check,automatic_screen,Single cell RNA-seq of the spinal cord in a neuropathic pain model.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134003,skipped_existing,,
GSE134056,Homo sapiens,38,2019,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,Machine Learning Classifiers for Endometriosis Using Transcriptomics and Methylomics Data [Transcriptomics],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134056,annotated,16,22
GSE135080,Rattus norvegicus,11,2019,original,include,already_in_pooled_analysis,automatic_screen,Novel drug-like RAR-Beta agonist induces BRCA1 to prevent neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135080,skipped_existing,,
GSE135485,Homo sapiens,58,2019,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Gene expression signature of endometrial samples from women with and without endometriosis.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE135485,annotated,54.0,4.0
GSE137515,Mus musculus,18,2020,original,pending,usable_pending_file_check,automatic_screen,Genetic screen for neuropathic pain study in importin alpha3 knock out mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE137515,skipped_existing,,
GSE138024,Mus musculus,16,2019,original,include,already_in_pooled_analysis,automatic_screen,RGS4 Maintains Chronic Pain Symptoms in Rodent Models,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138024,skipped_existing,,
GSE138185,Mus musculus,9,2019,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Pathophysiological role of MIG-6 and ERBB2 in progesterone resistance and endometriosis-related infertility.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138185,no_split,,
GSE141549,Homo sapiens,408,2020,amendment_2026_08_28,pending,normalized_beadchip_xlsx_across_two_platforms,rescreen_2026_09_12,"Transcriptome analysis of differential gene expression of endometrium, peritoneum, and endometriosis lesions",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141549,annotated,270,66
GSE143895,Rattus norvegicus,5,2020,original,include,already_in_pooled_analysis,automatic_screen,GPR160 de-orphanization reveals critical roles in neuropathic pain in rodents,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143895,skipped_existing,,
GSE145125,Mus musculus,6,2022,original,pending,usable_pending_file_check,automatic_screen,HDAC2 in primary sensory neurons constitutively restrains chronic pain   by repressing α2δ-1 expression and associated NMDA receptor activity,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145125,no_split,,
GSE145226,Rattus norvegicus,6,2020,original,include,already_in_pooled_analysis,automatic_screen,Analysis of mRNA Changes in the prelimbic cortex of Rat with Chronic Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145226,skipped_existing,,
GSE145701,Homo sapiens,48,2020,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Steroid Hormones Regulate Genome-Wide Epigenetic Programming and Gene Transcription in Human Endometrial Cells with Marked Aberrancies in Endometriosis [expression],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145701,annotated,32.0,16.0
GSE145702,Homo sapiens,96,2020,amendment_2026_08_28,exclude,superseries_duplicates_subseries,series_matrix_gsm_overlap,Steroid Hormones Regulate Genome-Wide Epigenetic Programming and Gene Transcription in Human Endometrial Cells with Marked Aberrancies in Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145702,annotated,32.0,16.0
GSE146853,Homo sapiens,68,2020,amendment_2026_08_28,exclude,characteristics_fields_misaligned_in_deposit,rescreen_2026_09_12,Longitudinal multi-omics reveals subset-specific mechanisms underlying irritable bowel syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146853,no_split,,
GSE147216,Mus musculus,12,2021,original,include,already_in_pooled_analysis,automatic_screen,The expression profiling of the anterior cingulate cortex and hippocampus in chronic inflammatory pain mice,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147216,skipped_existing,,
GSE148059,Homo sapiens,77,2020,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Genome-Wide Profiling of DNA Methylation and Gene Expression Identifies Candidate Genes for Human Diabetic Neuropathy (RNA-Seq),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148059,no_split,,
GSE148061,Homo sapiens,130,2020,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Genome-Wide Profiling of DNA Methylation and Gene Expression Identifies Candidate Genes for Human Diabetic Neuropathy,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148061,no_split,,
GSE15041,Rattus norvegicus,16,2009,original,include,already_in_pooled_analysis,contrast_audit_2026_08_30_contrast_repaired,Postnatal developmental changes in Sprague-Dawley rats in the model of neuropathic pain 'spare nerve injury',https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE15041,skipped_existing,,
GSE150598,Rattus norvegicus,6,2021,original,pending,usable_pending_file_check,automatic_screen,ATP mediates neuropathic pain of neuromyelitis optica spectrum disorder via microglial activation,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150598,skipped_existing,,
GSE150795,Mus musculus,16,2021,original,pending,usable_pending_file_check,automatic_screen,Next Generation Sequencing reveals different transcriptome induced by IL4-10 fusion protein (IL4-10 FP) compared to the combination of cytokines in mice with inflammatory pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150795,skipped_existing,,
GSE153739,Homo sapiens,7,2021,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Transcriptional profiling of the mid-proliferative phase eutopic endometrial samples from women with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153739,annotated,4.0,3.0
GSE153740,Homo sapiens,8,2021,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Transcriptional profiling of the mid-secretory phase eutopic endometrial samples from women with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153740,annotated,4.0,4.0
GSE154816,Mus musculus,102,2021,original,include,already_in_pooled_analysis,contrast_audit_2026_08_30_contrast_repaired,Normalization of cholesterol metabolism in spinal microglia alleviates neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154816,skipped_existing,,
GSE155622,Mus musculus,314,2021,original,pending,usable_pending_file_check,automatic_screen,Single-Cell Transcriptomic Analysis of Somatosensory Neurons Uncovers Temporal Development of Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155622,skipped_existing,,
GSE157153,Homo sapiens,66,2021,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Gene expression profiling in endometriosis and ovarian cancer,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157153,no_split,,
GSE159895,Mus musculus,18,2021,original,include,already_in_pooled_analysis,automatic_screen,Transcriptomic analysis of adult mouse spinal cord tissue in the control of HDAC4 during inflammatory pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159895,skipped_existing,,
GSE160543,Rattus norvegicus,12,2021,original,include,already_in_pooled_analysis,automatic_screen,Comparison of the transcriptional changes in dorsal root ganglion between paclitaxel and oxaliplatin induced peripheral neuropathic pain in rats,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE160543,skipped_existing,,
GSE162284,Mus musculus,12,2023,original,include,already_in_pooled_analysis,automatic_screen,Highly synchronized cortical circuit dynamics revealed by a new mouse model of neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162284,skipped_existing,,
GSE162807,Homo sapiens; Mus musculus,31,2020,original,pending,usable_pending_file_check,automatic_screen,Single-cell RNA sequencing reveals time- and sex-specific responses of spinal cord microglia to peripheral nerve injury and links ApoE to neuropathic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162807,skipped_existing,,
GSE168902,Homo sapiens,6,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Estrogen receptor beta promotes endometriosis progression by up-regulating CD47 expression in ectopic endometrial stromal cells,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE168902,no_split,,
GSE172133,Rattus norvegicus,18,2022,original,include,already_in_pooled_analysis,automatic_screen,A Transcriptomic Analysis of Neuropathic Pain in the Anterior Cingulate Cortex after Nerve Injury,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172133,skipped_existing,,
GSE174299,Rattus norvegicus,8,2021,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Expression profiling of contralateral dorsal root ganglia of a rat model of complex regional pain syndrome type-I uncovers potential mechanisms involved in mirror-image pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174299,no_split,,
GSE174741,Homo sapiens,6,2021,amendment_2026_08_28,exclude,no_pain_versus_control_contrast,automatic_screen,LINC01133 inhibits invasion and promotes proliferation in an endometriosis epithelial cell line,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174741,,,
GSE17504,Homo sapiens,20,2009,amendment_2026_08_28,include,case_control_contrast_recovered_in_rescreen,rescreen_2026_09_12,The PKA Pathway of Endometrial Stromal Fibroblasts Reveals Differentiation and Proliferative Potential in Endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17504,annotated,5,5
GSE175760,Rattus norvegicus,18,2022,original,include,already_in_pooled_analysis,automatic_screen,A Transcriptomic Analysis of Neuropathic Pain in the Spinal Cord after Nerve Injury,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175760,skipped_existing,,
GSE177034,Homo sapiens,196,2022,original,include,already_in_pooled_analysis,automatic_screen,Acute Inflammatory Response via Neutrophil Activation Protects Against the Development of Chronic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE177034,skipped_existing,,
GSE179640,Homo sapiens,59,2022,amendment_2026_08_28,exclude,single_cell_not_bulk_expression,step05_da_2026_08_29,Single cell analysis of endometriosis reveals a coordinated transcriptional program driving immunotolerance and angiogenesis across eutopic and ectopic tissues,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179640,annotated,51.0,8.0
GSE180627,Mus musculus,96,2021,original,include,superseded_by_per_region_splits,contrast_audit_2026_08_30,Sex-specific transcriptome of spinal microglia in neuropathic pain due to peripheral nerve injury,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180627,skipped_existing,,
GSE182983,Homo sapiens,29,2021,amendment_2026_08_28,exclude,control_arm_is_pain_without_endometriosis,rescreen_2026_09_12,Endometriosis and Pain samples,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182983,no_split,,
GSE184014,Mus musculus,17,2022,original,pending,usable_pending_file_check,automatic_screen,mTOR-neuropeptide Y signaling sensitizes nociceptors to drive neuropathic pain development,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184014,skipped_existing,,
GSE184431,Homo sapiens,6,2021,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Gut microbiota-derived short-chain fatty acids protect against the progression of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE184431,no_split,,
GSE186237,Rattus norvegicus,8,2021,original,include,already_in_pooled_analysis,automatic_screen,Therapeutic Interrupting C/EBPβ-Clec7a Cross-talk-mediated NLRP3 Inflammasome-dependent Pyroptosis for Relieving Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186237,skipped_existing,,
GSE186505,Homo sapiens,20,2021,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,RNA sequencing of whole blood cells in patients with trigeminal neuralgia,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186505,annotated,10.0,10.0
GSE18803,Rattus norvegicus,24,2009,original,include,already_in_pooled_analysis,automatic_screen,Adult and Neonatal dorsal horn gene expression 7 day post sciatic nerve SNI injury,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18803,skipped_existing,,
GSE190209,Mus musculus,15,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Gene expression data from the syngeneic mouse endometriosis model,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190209,no_split,,
GSE192566,Homo sapiens; Mus musculus,22,2022,original,pending,usable_pending_file_check,automatic_screen,Global analyses of mRNA expression in human sensory neurons reveals eIF5A as a conserved target for inflammatory pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192566,no_split,,
GSE192636,Homo sapiens,10,2024,amendment_2026_08_28,pending,supplementary_file_selection_picks_lncrna_not_mrna,step05_contrast_audit_2026_08_29,"mRNA, lncRNA and circular RNA expression profiles and ceRNA network construction of granulosa cells in ovarian endometriosis",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192636,annotated,5.0,5.0
GSE193928,Homo sapiens,37,2024,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,"Discovery study in endometrial samples using RNA-HighSeq to build classifiers to differentiate between control patients and adenomyosis, ovarian endometriosis and deep infiltrating endometriosis",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193928,annotated,18.0,19.0
GSE196748,Homo sapiens,12,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Transcriptome-wide m6A methylome of endometrioid ovarian cancer and ovarian endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196748,no_split,,
GSE197233,Mus musculus,24,2022,original,include,superseded_by_per_region_splits,contrast_audit_2026_08_30,Sex-Specific Transcriptomic Signatures in Brain Regions Critical for Neuropathic Pain-Induced Depression,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197233,skipped_existing,,
GSE198020,Rattus norvegicus,6,2022,original,pending,usable_pending_file_check,automatic_screen,Metabolomic and transcriptomic profiling of DRG in SNI rat reveal a common pattern of changes in metabolites and signaling pathways in Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198020,skipped_existing,,
GSE198608,Rattus norvegicus,24,2022,original,pending,usable_pending_file_check,automatic_screen,Single-cell RNA sequencing reveals the link between axonal regeneration and neuropathic pain by modified analysis of a novel peripheral nerve injury rat model,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198608,skipped_existing,,
GSE201163,Rattus norvegicus,9,2022,original,pending,usable_pending_file_check,automatic_screen,GPER/β-alanine Positive Interaction in the Dorsal Root Ganglion Uncovers Potential Mechanisms: Mediating Continuous Neuronal Sensitization and Neuroinflammation Responses in Neuropathic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201163,skipped_existing,,
GSE201912,Homo sapiens,6,2022,amendment_2026_08_28,pending,platform_table_carries_no_symbol_column,step05b_id_mapping_2026_08_29,"Gene expression data from normal endometrium (NE), endometrium with endometriosis (EE) and ovarian endometrioma (OE)",https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201912,annotated,4.0,2.0
GSE202111,Rattus norvegicus,9,2022,original,pending,usable_pending_file_check,automatic_screen,Major differences in transcriptional alterations in dorsal root ganglia between spinal cord injury and peripheral neuropathic pain models,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202111,skipped_existing,,
GSE202571,Homo sapiens,18,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,RNA-seq analysis of the effect of surgical treatment on secretory eutopic endometrium of patients with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202571,no_split,,
GSE203191,Homo sapiens,11,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Single cell analysis of menstrual endometrial tissues defines phenotypes associated with endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203191,no_split,,
GSE205494,Homo sapiens,12,2022,amendment_2026_08_28,include,da_complete_effects_written,step05_da_2026_08_29,Iron-overloaded follicular fluid increases the risk of endometriosis-related infertility by triggering granulosa cell ferroptosis and oocyte dysmaturity,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205494,annotated,6.0,6.0
GSE205906,Rattus norvegicus,9,2022,original,pending,usable_pending_file_check,automatic_screen,Gene expression of spinal cord in neuropathic pain rats treated by paeoniflorin- liquiritin combination,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205906,skipped_existing,,
GSE206043,Mus musculus,6,2022,original,pending,usable_pending_file_check,automatic_screen,NIS-lncRNA promotes  neuropathic pain by increasing Ccl2 expression,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206043,skipped_existing,,
GSE20895,Rattus norvegicus,24,2010,original,pending,usable_pending_file_check,automatic_screen,mRNA-seq with Agnostic Splice Site Discovery for CNS Transcriptomics Tested in Chronic Pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20895,skipped_existing,,
GSE212787,Homo sapiens,20,2024,amendment_2026_08_28,pending,no_count_matrix_in_supplementary_files,step05_da_2026_08_29,Multi-Omics Integration Highlights the Role of Ubiquitination in Endometriosis Fibrosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212787,annotated,14.0,6.0
GSE213216,Homo sapiens,51,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,A single-cell transcriptomic analysis of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213216,no_split,,
GSE214204,Mus musculus,8,2025,original,include,already_in_pooled_analysis,automatic_screen,Distinct top-down control for allodynia and anxiety-like behaviors in chronic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214204,skipped_existing,,
GSE214411,Homo sapiens,13,2023,amendment_2026_08_28,exclude,single_cell_not_bulk_expression,step05_da_2026_08_29,Single-cell Transcriptomics of Endometrial Cells from Patients with Minimal/mild Endometriosis.,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214411,annotated,6.0,4.0
GSE215048,Mus musculus,16,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Diet-induced modifications to human microbiome reshape colonic homeostasis in irritable bowel syndrome (RNA-Seq I),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215048,no_split,,
GSE215049,Mus musculus,7,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Diet-induced modifications to human microbiome reshape colonic homeostasis in irritable bowel syndrome (RNA-Seq II),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215049,no_split,,
GSE215050,Mus musculus; human gut metagenome,52,2022,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Diet-induced modifications to human microbiome reshape colonic homeostasis in irritable bowel syndrome,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE215050,no_split,,
GSE217932,Rattus norvegicus,12,2023,original,include,already_in_pooled_analysis,contrast_audit_2026_08_30_contrast_repaired,Levo-tetrahydropalmatine Ameliorates Neuropathic Pain via Suppressing the Activation of the Clec7a-MAPK/NF-κB-NLRP3 Inflammasome Axis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217932,skipped_existing,,
GSE218980,Mus musculus,7,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Decreased expression of EZH2 in granulosa cells contributes to endometriosis-associated infertility by targeting IL-1R2 [RNA-Seq],https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218980,no_split,,
GSE218984,Mus musculus,11,2025,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,Decreased expression of EZH2 in granulosa cells contributes to endometriosis-associated infertility by targeting IL-1R2,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE218984,no_split,,
GSE219103,Mus musculus,6,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,CFP1 governs uterine epigenetic landscapes to intervene in progesterone responses for uterine physiology and suppression of endometriosis (RNA-Seq),https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219103,no_split,,
GSE219104,Mus musculus,12,2023,amendment_2026_08_28,exclude,no_case_control_split_in_series_matrix,auto_annotate_geo,CFP1 governs uterine epigenetic landscapes to intervene in progesterone responses for uterine physiology and suppression of endometriosis,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE219104,no_split,,
GSE221921,Homo sapiens,189,2024,original,include,already_in_pooled_analysis,automatic_screen,Identification of unique genomic signatures in patients with fibromyalgia and chronic pain,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221921,skipped_existing,,
